Level,Time,InternalResistance,StartingInternalResistance,Voltage,Current,Temp,AccelX,AccelY,AccelCombined,Speed,Distance
1,0,0.5348209449266379,0.6,6.235482674651066,0.22348680838508092,25.00044697361677,0.04231610336117632,-0.00977277879876411,0.0434299413898215,0.02364052345967664,0.02364052345967664
1,1,0.6151921667820012,0.6,6.236208587629078,0.18621172555841692,25.00081939706789,0.014577267540897009,0.014542735069629751,0.02059096579241315,0.03677735528896487,0.06041787874864151
1,2,0.5579326191234828,0.6,6.241567242875428,0.19551670296580043,25.001210430473822,0.024873432454149507,-0.0020515826376580086,0.024957897214514642,0.046709997011538315,0.10712787576017982
1,3,0.9306105119464331,0.6,6.204406711416601,0.15755582044452843,25.001525542114713,0.013104039303950241,-0.00742165020406442,0.015059772170619387,0.0511696743268935,0.1582975500870733
1,4,0.5949539704369139,0.6,6.177925518258757,0.28831608681211873,25.002102174288336,0.0389083709507713,0.01469358769900285,0.04159041776071878,0.07475025313408022,0.23304780322115354
1,5,0.6657267491406761,0.6,6.207693345488319,0.2075848992651319,25.002517344086865,-0.0034046725497003856,0.0015634896910398006,0.0037465043953892616,0.07482470207764136,0.3078725052987949
1,6,0.6228470461821006,0.6,6.162589429255303,0.2994400573275624,25.00311622420152,0.0003349069488421449,-0.014200179371789752,0.014204128162452841,0.08564513867715443,0.39351764397594935
1,7,0.6275536083855572,0.6,6.148294496816462,0.31918743258084137,25.00375459906668,-0.03215516937446483,0.007774903558319101,0.03308177810882728,0.06601792290318886,0.4595355668791382
1,8,0.6824175683553386,0.6,6.19528865727625,0.22800335249979353,25.004210605771682,-0.021848822141587135,-0.011806321841224121,0.024834658531843638,0.04927715213729046,0.5088127190164287
1,9,0.5948457440862372,0.6,6.253737836924435,0.16265417920538008,25.00453591413009,-0.005552758433925231,-0.003627411659871381,0.006632589356782058,0.05006761464017487,0.5588803336566035
1,10,0.6842927001037609,0.6,6.2376541160341885,0.1601382638748699,25.00485619065784,-0.003957104519239469,-0.004017809362082619,0.005639279053764245,0.04433624869839787,0.6032165823550014
1,11,0.6949633103852233,0.6,6.216573052196848,0.1921349675258119,25.00524046059289,-0.007444702717724864,0.0012898291075741067,0.007555611006533184,0.02960064035889764,0.6328172227138991
1,12,0.5497826509520649,0.6,6.246721414437036,0.18554236397752494,25.005611545320846,0.005725971317724425,-0.005788496647644155,0.008142078418388661,0.04403458316844088,0.67685180588234
1,13,0.7711167182580786,0.6,6.240447348726834,0.1437494240958301,25.005899044169038,0.0031376407591867835,-0.015362436862772237,0.015679580858440494,0.042515599530323064,0.719367405412663
1,14,0.5167274115712986,0.6,6.1999561615377585,0.2893657164757236,25.00647777560199,0.005923435769818266,0.010544517269311366,0.012094376203920901,0.059146561515246755,0.7785139669279098
1,15,0.5894052941403579,0.6,6.23141671878039,0.2045813013019115,25.006886938204595,-0.00038276164951245263,0.007065731681919481,0.007076091483383903,0.05520013589399028,0.8337141028219001
1,16,0.5913421600336519,0.6,6.232410689059615,0.2002125879907615,25.007287363380577,0.019416493588371723,-0.013477590611424464,0.02363568640755832,0.055785122511799456,0.8894992253336995
1,17,0.727156954252963,0.6,6.195852572360794,0.21780826589487098,25.007722979912366,-0.016419552043634756,-0.007474548114407578,0.018040802610422412,0.04350176027576218,0.9330009856094617
1,18,0.4896392897248585,0.6,6.199690063584048,0.3127685260408063,25.008348516964446,0.012266987386680602,0.019100649530990336,0.02270052404793119,0.06438100451298981,0.9973819901224514
1,19,0.5056573572479237,0.6,6.246445715700867,0.20416553942434587,25.008756848043294,0.003022659542648018,0.009222066715665268,0.009704791868914155,0.06126287035217702,1.0586448604746284
1,20,0.5793738318463157,0.6,6.2503626617878965,0.17600350282704033,25.009108855048947,-0.0033077103209750622,-0.0014963454032767077,0.003630426577331138,0.06490083862851562,1.123545699103144
1,21,0.5459457439993699,0.6,6.224658809160156,0.23131180996682188,25.00957147866888,-0.0125407801245211,0.005392491912918173,0.013651012239481414,0.06005921924844768,1.1836049183515918
1,22,0.6733440997559734,0.6,6.222681401278439,0.191002795256638,25.009953484259395,-0.0009833403652691197,-0.0020829875557799487,0.0023034312300352555,0.053309970717029156,1.236914889068621
1,23,0.7828143467558325,0.6,6.219877527159582,0.167162201643843,25.01028780866268,0.006295805008638827,0.006350314368921064,0.008942239836356832,0.057939040771942694,1.2948539298405637
1,24,0.6628836712014322,0.6,6.119925269300831,0.3530304769838097,25.010993869616648,0.01087846956632994,-0.0046158460481470895,0.01181723888417941,0.08197658444338785,1.3768305142839514
1,25,0.6497247220202921,0.6,6.180988755471519,0.2568602468125183,25.011507590110273,-0.00386459974183942,-0.006634782863621074,0.0076782468579764465,0.07909650994580275,1.4559270242297542
1,26,0.6866577406633201,0.6,6.175795818565939,0.2520913473097306,25.012011772804893,0.0043763837195617454,0.019295320538169857,0.019785401919889437,0.08845321817228755,1.5443802424020416
